id_messaggio,testo_messaggio,data_messaggio,data,in_risposta_a
18052633895324030,"""ci sono solo maschi nelle posizioni di potere"". Infatti la Presidente del Consiglio è donna e vi sono diverse ministre (Bernini, Roccella, Santanchè, Casellati ecc.). Poi che le idee e le azioni di queste persone siano negative e bigotte per quanto riguarda i diritti delle donne (soprattutto Roccella), è un altro discorso. Mi chiedo a che cosa servano questi titoli populisti e imprecisi... Probabilmente a radicalizzare ancora di più il dibattito e a innescare litigi e polemiche nei commenti. 😉",2025-03-14 11:16:08,"1,741,947,368",
18133539895402940,Non penso che a una donna normale importi se il padrone è uomo o donna.,2025-03-14 11:17:57,"1,741,947,477",
17857043106391422,Abbiamo letteralmente una donna al governo,2025-03-14 11:24:29,"1,741,947,869",
18078258253709224,Grazie mille,2025-03-14 11:26:37,"1,741,947,997",
18053401163164447,Quanto avete rotto il cazzo con questi piagnistei,2025-03-14 11:33:55,"1,741,948,435",
18005673221557268,"Il primo ministro è donna, molti ministri ( circa un terzo) sono donne, nell’opposizioni ci sono donne, al parlamento europeo vi sono molte donne, e non che faccia chissà che differenza a questo punto ma il PRIMO CAZZO DI MINISTRO È UNA DONNA. Però siamo maschilisti, ma vaffanculo",2025-03-14 11:37:45,"1,741,948,665",
18047317562062643,Non ce ne frega nulla se chi è al potere ha un pene o una vagina. Ci interessa se è preparato o no. Concentratevi su di quello e uscite da questa ossessione femminista per il vostro genere.,2025-03-14 11:38:58,"1,741,948,738",
17947946495955100,"@frigo.r_mortis con posizioni di potere non si intende esclusivamente la politica eh... Anzi, quelle sono lì per fare presenza, per fare finta che ci sia parità di genere. Poi loro sono proprio le prime ad aver interiorizzato il pensiero patriarcale, basta sentire cosa dice la carciofara.",2025-03-14 11:39:02,"1,741,948,742",18052633895324030
18045411659360434,"È vero,speriamo un giorno di avere una donna presidente del consiglio..ehi aspetta un attimo....",2025-03-14 11:42:16,"1,741,948,936",
18304062616209936,"@h.omosapiens ma parli per te per favore? ""Ce"" stoca**o, esiste anche gente che non ha il prosciutto negli occhi e vede che la ""preparazione"" tanto sbandierata passa prima dai pregiudizi. Prova a chiedere se in azienda sono pronti a prendere un ingegnere donna, prova.",2025-03-14 11:42:55,"1,741,948,975",18047317562062643
17971371062837059,@manuela.salzanotruccatrice da quando ciò che uno dice è influenzato dal sesso? non e la definizione di sessismo giudicare una persona o ciò che dice solo dal sesso?,2025-03-14 11:43:06,"1,741,948,986",18047317562062643
18040786397421213,Imbarazzante,2025-03-14 11:43:52,"1,741,949,032",
18333666259090110,"Ci fosse mai una volta dove leggo, che ne so?, di equiparare il numero di donne e di uomini nello svolgimento di lavori pericolosi!",2025-03-14 11:44:12,"1,741,949,052",
17899231446054408,"@manuela.salzanotruccatrice giusto, perché l'opinione di un uomo vale meno, proprio come prevede l'antiaessismo",2025-03-14 11:45:01,"1,741,949,101",18133539895402940
18166880626328964,"@zerne_bog sta storia del patriarcato interiorizzato sta diventato una scusa per tutto. Prendi una qualsiasi donna di quelle la nella foto, mettila al potere e, nei limiti della sua ignoranza, farà quello che farebbe un uomo. Sta storia poi del fare presenza è abbastanza scema. Li ci si arriva tramite voto ed è una cosa che le persone faticano a comprendere. Se ci sono arrivate (maschi e femmine) è perché l'italiano così ha votato. Sbagliando? Come sempre! Ma il sistema è costruito per favorire un certo ""adattamento"" alla scorrettezza.",2025-03-14 11:45:26,"1,741,949,126",18052633895324030
18059849917854254,@h.omosapiens sembra che avere una vagina sia un merito per le femministe 😂😂,2025-03-14 11:45:37,"1,741,949,137",18047317562062643
18006487973709648,A volte mi chiedo se chi scrive sta immondizia conosca davvero il significato delle parole che usa,2025-03-14 11:46:11,"1,741,949,171",
18035467532254909,"Le ambasciate sono rappresentate quasi solo da uomini? Ma secondo voi quante donne andrebbero a fare le abasciatrici in stati arabi, per esempio?",2025-03-14 11:46:20,"1,741,949,180",
18023178014451617,"@manuela.salzanotruccatrice non sta parlando a nome di tutte le donne, sta dicendo le cose come stanno, da quando devi avere una vagina per parlare di problematiche sociali?",2025-03-14 11:47:13,"1,741,949,233",18047317562062643
18050276102001333,@manuela.salzanotruccatrice a me non cambia se c'è la meloni o Ignazio la russa per esempio,2025-03-14 11:47:15,"1,741,949,235",18133539895402940
18054279347130488,@frigo.r_mortis 👏👏👏👏👏,2025-03-14 11:47:23,"1,741,949,243",18052633895324030
18085354897610343,"@manuela.salzanotruccatrice perdonalo se ha un pene. Lo so, lo aveva anche l'uomo che ha ragionevolmente smesso di amarti, però non puoi fare guerra a tutti gli uomini solo perché sei arrabbiata.",2025-03-14 11:48:11,"1,741,949,291",18047317562062643
18042630263128009,"65% è il 15% in più della perfetta parità numerica...ma veramente pensate che si arriverà al 50/50 preciso? Pensavo che fosse importante la preparazione dk chi comanda, non gli organi sessuali.",2025-03-14 11:49:27,"1,741,949,367",
18093456136538791,@babbio.it infatti la presidente si fa chiare IL PRESIDENTE… e poi hai ragione non cambia nulla due fašćï incompetenti,2025-03-14 11:49:37,"1,741,949,377",18133539895402940
17941987511970671,Avete scritto una cosa talmente scema che non riesco nemmeno ad incazzarmi. Provo solo molta pena per voi e la vostra ossessione.,2025-03-14 11:49:38,"1,741,949,378",
